country_name,country_text_id,COWcode,year,v2x_partipdem,pred,residual
Lithuania,LTU,368,2018,0.62,0.32732910648589,0.29267089351411
Jamaica,JAM,51,2018,0.551,0.25728986390028535,0.2937101360997147
South Korea,KOR,732,2018,0.597,0.29986260935205666,0.2971373906479433
Portugal,PRT,235,2018,0.64,0.3275058031844107,0.3124941968155893
Malta,MLT,338,2018,0.551,0.23798301938146535,0.31301698061853467
Peru,PER,135,2018,0.613,0.295279069004167,0.317720930995833
Greece,GRC,350,2018,0.625,0.28274326510731,0.34225673489269
United States of America,USA,2,2018,0.589,0.23440004128842698,0.354599958711573
Slovakia,SVK,317,2018,0.599,0.23599776787183194,0.36300223212816807
Estonia,EST,366,2018,0.649,0.2834824404873524,0.36551755951264764
Finland,FIN,375,2018,0.625,0.2523528513023928,0.3726471486976072
Latvia,LVA,367,2018,0.61,0.22839020971308951,0.38160979028691044
France,FRA,220,2018,0.607,0.223447802835907,0.38355219716409295
Canada,CAN,20,2018,0.582,0.19704616810463343,0.3849538318953665
Netherlands,NLD,210,2018,0.629,0.22839020971308951,0.40060979028691046
Australia,AUS,900,2018,0.627,0.22362509746080947,0.4033749025391905
Luxembourg,LUX,212,2018,0.631,0.22362509746080947,0.4073749025391905
Austria,AUT,305,2018,0.638,0.22839020971308951,0.40960979028691047
Belgium,BEL,211,2018,0.645,0.23470082429523567,0.4102991757047644
Italy,ITA,325,2018,0.672,0.25183483096895454,0.4201651690310455
Uruguay,URY,165,2018,0.731,0.3097751994257511,0.4212248005742489
Sweden,SWE,380,2018,0.653,0.22839020971308951,0.4246097902869105
Ireland,IRL,205,2018,0.636,0.20715045548661476,0.42884954451338525
Costa Rica,CRI,94,2018,0.658,0.22839020971308951,0.4296097902869105
Taiwan,TWN,713,2018,0.668,0.22083073650195503,0.447169263498045
New Zealand,NZL,920,2018,0.695,0.22557458343330622,0.46942541656669373
Iceland,ISL,395,2018,0.649,0.16813103527982848,0.48086896472017154
Denmark,DNK,390,2018,0.707,0.1460435799645855,0.5609564200354145
Switzerland,CHE,225,2018,0.803,0.23599776787183194,0.5670022321281681
Cuba,CUB,40,2019,0.057,0.34238607522061676,-0.28538607522061676
Eritrea,ERI,531,2019,0.009,0.2906653277643212,-0.2816653277643212
Nicaragua,NIC,93,2019,0.125,0.3981160647918886,-0.2731160647918886
